"","Codes","Cantons","Tasa_2014","Tasa_2015","Tasa_2016","Tasa_2017","Tasa_2018","Tasa_2019","Tasa_2020","Tasa_2021"
"90","0924","Lomas de Sargentillo",0,0,0,0,0,0,4.12881915772089,0
"91","0910","Milagro",85.3966320003481,56.8117868378881,50.1878080606903,21.3575037766318,6.16579831673706,28.3910872265457,38.0313758851052,56.8204276848887
"92","0911","Naranjal",41.1527765653643,61.7702630686498,32.947766023793,3.43096330012923,1.1119017968333,17.3025348213513,22.0931700542861,6.14338664427744
"93","0912","Naranjito",105.459361357728,159.771478370331,102.782292762214,23.6099634045567,9.33140484299911,32.2811224607439,61.5567005608499,29.3155936407712
"94","0925","Nobol",0,0,0,0,0,0,0,0
"95","0913","Palestina",0,0,0,0,0,0,0,0
"96","0914","Pedro Carbo",2.09100033456005,0,0,0,0,0,0,0
"97","0921","Playas",60.8383524974144,115.822536317236,1.9008877145627,3.68269868159387,0,46.6990677482401,10.0623867981485,35.7874873930442
"98","0916","Samborondón",0,8.2709076730392,1.13654445025345,0,1.05281997831191,0,3.90609741806961,4.70490816019271
"99","0920","San Jacinto de Yaguachi",15.9480383912779,36.8830947753678,56.9278404909679,12.2354092744402,6.65787826735376,31.3119716104791,29.4102603447394,38.8646507196229
"100","0918","Santa Lucia",0,4.66984215933501,0,11.4337983077979,4.52837023955079,0,0,0
"101","0922","Simon Bolivar",0,0,0,0,0,0,0,0
"102","0919","Urbina Jado",14.4557413386016,3.1804592583169,4.72493030727797,10.9226520199104,1.54647943955585,0,0,10.5593435105292
"103","1002","Antonio Ante",4.10349001826053,0,0,0,0,0,0,0
"104","1003","Cotacachi",0,0,0,0,0,0,0,0
"105","1001","Ibarra",1.49077952861551,2.93301005044777,0.961968572486737,0,0,3.21313160987074,1.35655146530167,1.33675542722703
"106","1004","Otavalo",0,0,0,0,0,0,0,0
"107","1005","Pimampiro",0,0,0,0,0,0,0,0
"108","1006","San Miguel de Urcuquí",0,0,0,0,0,0,0,0
"109","1102","Calvas",0,0,0,10.1098604839253,0,13.5062128579146,3.38237781160156,0
"110","1103","Catamayo",0,0,0,0,0,0,0,0
"111","1104","Celica",0,0,0,0,0,0,0,0
"112","1105","Chaguarpamba",0,0,0,0,0,0,0,0
"113","1106","Espíndola",0,0,0,0,0,0,42.2267576887888,0
"114","1107","Gonzanamá",0,0,0,0,0,0,0,0
"115","1101","Loja",2.05489867294644,6.84178965118946,4.7313947757516,1.54579216051506,4.16824554755589,9.66481672161982,4.74258697174877,8.59648117370623
"116","1108","Macará",0,99.1031167930231,79.1491466732624,44.4620096828377,9.87166831194472,9.86679822397632,123.341062706596,296.179287195182
"117","1116","Olmedo",0,0,0,0,0,0,0,0
"118","1109","Paltas",4.08513419665836,12.3279227450175,140.612076095947,0,0,0,4.26057688210984,8.59364929317235
"119","1114","Pindal",0,0,0,0,0,0,0,0
"120","1110","Puyango",12.3487280810077,24.7386975075762,18.5954255253208,0,0,12.5093820365274,12.5588697017268,18.9190893611654
"121","1115","Quilanga",0,0,0,0,0,0,0,0
"122","1111","Saraguro",0,3.06203686692388,0,0,0,0,0,0
"123","1112","Sozoranga",0,0,0,0,0,0,0,0
"124","1113","Zapotillo",0,0,0,0,0,0,0,0
"125","1202","Baba",7.0958891149061,9.40999341300461,4.68153835350296,0,0,41.5944540727903,138.15653135002,16.0664692786155
"126","1201","Babahoyo",83.5587616471295,169.680227192894,23.0057278363408,5.84665395993873,2.31881369491368,47.1489273619025,211.66013429864,65.6870239814264
"127","1210","Buena Fé",55.353362024826,190.244889698442,88.1718166026215,28.2493130280695,12.5338413717036,18.3578308387081,162.574413656251,77.0901955287687
"128","1212","Mocache",2.41703526454451,0,0,0,0,0,0,0
"129","1203","Montalvo",0,0,0,0,0,0,0,0
"130","1209","Palenque",0,0,0,0,0,0,0,0
"131","1204","Pueblo Viejo",0,2.42383110744843,2.38327891513144,0,0,0,4.47177193963108,0
"132","1205","Quevedo",53.8001531235127,55.3949046851892,34.4626080702438,30.9354284311318,7.24413707839122,19.9561914083845,136.081780005799,74.5873523791984
"133","1213","Quinsaloma",0,309.580998131839,167.750052421891,0,0,0,0,0
"134","1206","Urdaneta",38.2250820246552,72.7318723713753,3.14050624960744,3.11993011356546,0,6.1652281134402,98.1053406094794,57.9497971757099
"135","1211","Valencia",0,0,0,0,0,0,0,0
"136","1207","Ventanas",29.2727804959645,62.1864765142407,39.7456279809221,32.6335255085391,28.3400809716599,12.0588471742101,62.5449125701967,44.953327868419
"137","1208","Vinces",51.413220909757,44.5230311279592,6.29738784352251,2.49485436287657,1.23597172096702,8.57527869655764,37.6538036414872,13.251734772552
"138","1316","24 De Mayo",0,0,0,0,0,0,0,0
"139","1302","Bolívar",123.329907502569,158.661801038101,42.7600486114237,6.70705806076595,15.5541729624033,8.83821644792081,79.1330534367925,120.326412741473
"140","1303","Chone",52.9588887712025,114.269281995399,57.5578797494718,14.4073644380749,13.6727206435294,16.7481234488954,18.3203309873132,36.7562600505399
"141","1304","El Carmen",14.024121488961,72.7029788571878,21.2087032806008,20.821502933939,0.929609935670992,0.913525660935816,40.4152895530967,28.267552383308
"142","1305","Flavio Alfaro",0,159.368899159329,76.4218486042957,93.4389599837498,53.3661740558292,37.3521477484955,62.9670052892284,21.2395395267831
"143","1320","Jama",0,0,0,0,0,0,0,0
"144","1321","Jaramijó",0,0,0,0,0,0,0,0
"145","1306","Jipijapa",116.520458045939,61.5351686866255,29.4101919683439,6.68279447733864,0,14.71788490614,178.176703061156,115.409906464297
"146","1307","Junín",0,0,0,0,0,0,0,0
"147","1308","Manta",13.3353268973544,83.8340086628476,38.6677767212093,11.3151744292665,10.8086407362228,81.3868627083867,161.948834762998,76.8512721697176
"148","1309","Montecristi",0,0,0,0,0,0,0,0
"149","1318","Olmedo",0,0,0,0,0,0,0,0
"150","1310","Paján",15.6891457260152,7.87484250314994,10.5460201956287,47.6871721506915,13.3169978160124,18.7526789541363,64.7022349230313,38.001140034201
"151","1317","Pedernales",0,0,0,0,0,0,0,0
"152","1311","Pichincha",0,39.0218522372529,9.82125319190729,0,0,10.0485680790487,16.8924625831954,44.3201963725624
"153","1301","Portoviejo",30.8979807840856,92.3688378764274,36.7052823408955,8.29145087634258,3.16011679791685,9.08563998934787,25.7924176507147,56.7395132119807
"154","1319","Puerto López",0,0,0,0,0,0,0,0
"155","1312","Rocafuerte",27.8156379516564,52.4586542974682,46.6136550589526,5.4488489306634,5.41653125338533,26.9345759151022,26.8010291595197,66.698682034043
"156","1322","San Vicente",0,50.1085685652247,0,0,0,0,8.06484132424695,0
"157","1313","Santa Ana",0,0,0,0,0,0,0,0
"158","1314","Sucre",21.3345587028588,119.168108655196,35.7415560573814,9.70575389443375,3.22289544927163,12.8485159964024,6.40584212802076,39.9399303447615
"159","1315","Tosagua",0,0,0,0,0,0,0,0
"160","1402","Gualaquiza",16.0196507716132,5.29072535844664,15.7397691500525,10.4134124752681,0,0,0,173.080838933008
"161","1407","Huamboya",0,0,0,0,0,0,0,0
"162","1403","Limón Indanza",0,0,0,0,0,19.2882630919086,0,0
"163","1410","Logroño",0,0,0,0,0,0,0,0
"164","1401","Morona",34.8989981934636,5.96516344547841,5.78257517347726,9.35016362786349,99.8638220608262,5.29296564865294,17.1582505447745,35.0672121566335
"165","1411","Pablo Sexto",0,0,0,0,0,0,0,0
"166","1404","Palora",0,0,0,0,0,0,0,0
"167","1408","San Juan Bosco",0,0,0,0,0,0,0,0
"168","1405","Santiago",213.240283028012,0,0,27.9485746226942,9.20895110046966,72.8796574656099,9.01957247226481,62.5614442756278
"169","1406","Sucúa",157.127892581659,18.6124424177563,0,0,4.36376330947809,17.1122994652406,4.19762414473408,90.6917305631132
"170","1409","Taisha",0,4.38558021226208,0,0,7.94659885568977,34.6580406654344,48.5563814290517,7.25163161711385
"171","1412","Tiwintza",0,0,0,0,0,0,0,0
"172","1503","Archidona",10.498687664042,13.6476850114299,6.65557404326123,3.24728040266277,0,0,0,0
"173","1509","Carlos Julio Arosemena Tola",0,0,0,0,0,0,0,0
"174","1504","El Chaco",144.798396079305,109.027474923681,53.3845825325646,0,0,0,0,0
"175","1507","Quijos",15.0489089541008,14.9588631264024,14.8765248437965,29.5989344383602,0,14.6627565982405,14.6049364685264,14.5602795573675
"176","1501","Tena",21.6756741134649,19.7614510551203,9.65530559042194,6.74236090509453,14.5068973702952,45.1601249000026,141.446288297845,79.1462102568542
"177","2202","Aguarico",157.056315907561,162.11208893006,47.8583393156257,0,0,26.5604249667995,303.113805456049,114.351057747284
"178","2203","La Joya de los Sachas",0,0,0,0,0,0,0,0
"179","2204","Loreto",0,0,0,0,0,0,0,0
"180","2201","Orellana",40.2434116657114,124.88106565176,267.078509469675,39.7248768528818,31.095908666874,264.322930830061,226.065815009917,53.3629096388063
"181","1604","Arajuno",0,0,0,0,0,0,0,0
"182","1602","Mejía",0,0,0,0,0,0,0,0
"183","1602","Mera",0,0,0,0,0,0,0,0
"184","1601","Pastaza",1.39355342187043,9.48483780927346,9.2263081586925,0,13.7359206813017,7.29740577224797,14.2218851108714,36.9749841123115
"185","1603","Santa Clara",0,0,0,0,0,0,0,0
"186","1702","Cayambe",0,0,0,0,0,0,0,0
"187","1703","Mejía",0,0,0,0,0,0,0.92449638059667,0
"188","1704","Pedro Moncayo",0,0,0,0,0,0,0,0
"189","1708","Pedro Vicente Maldonado",330.455894254114,131.50108488395,89.7781197896627,37.5398861290121,67.175572519084,65.5894102915747,87.3565895987421,96.7117988394584
"190","1709","Puerto Quito",0,0,0,0,0,0,0,0
"191","1701","Quito",2.03564859755786,3.25270670265284,2.11702205051677,0.416013493964968,0.297381186922662,2.11989311352722,1.47395008917398,1.450246294267
"192","1705","Rumiñahui",0,0,0.958671664541611,0,0,0,0,0
"193","1707","San Miguel de los Bancos",0,0,0,0,0,0,0,0
