fid,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,DPA_VALOR,Shape_Leng,Shape_Area,lat,lon,,Region
156,1322,SAN VICENTE,13,MANABI,2010,0,139834.1071,708793254.6,-0.478,-80.359,,Coast
157,1401,MORONA,14,MORONA SANTIAGO,2010,0,560276.4316,4655725359,-2.343,-78.062,,Coast
158,1402,GUALAQUIZA,14,MORONA SANTIAGO,2010,0,241232.6377,2191405127,-3.365,-78.653,,Amazonia
159,1403,LIMON INDANZA,14,MORONA SANTIAGO,2010,0,273694.429,1821386487,-3.037,-78.35,,Amazonia
160,1404,PALORA,14,MORONA SANTIAGO,2010,0,221268.6044,1456494178,-1.672,-78.113,,Amazonia
161,1405,SANTIAGO,14,MORONA SANTIAGO,2010,0,267508.7875,1398701975,-2.735,-78.363,,Amazonia
162,1406,SUCUA,14,MORONA SANTIAGO,2010,0,193492.9073,893315154.9,-2.486,-78.211,,Amazonia
163,1407,HUAMBOYA,14,MORONA SANTIAGO,2010,0,149644.4618,664608746.9,-1.984,-77.957,,Amazonia
164,1408,SAN JUAN BOSCO,14,MORONA SANTIAGO,2010,0,259269.675,1054053159,-3.256,-78.376,,Amazonia
165,1409,TAISHA,14,MORONA SANTIAGO,2010,0,476170.8065,6160557791,-2.476,-77.391,,Amazonia
166,1410,LOGROÐO,14,MORONA SANTIAGO,2010,0,203168.0119,1171498521,-2.767,-78.041,,Amazonia
167,1411,PABLO SEXTO,14,MORONA SANTIAGO,2010,0,235387.1009,1389321748,-1.858,-78.276,,Amazonia
168,1412,TIWINTZA,14,MORONA SANTIAGO,2010,0,255369.1447,1172041876,-3.04,-78.002,,Amazonia
169,1501,TENA,15,NAPO,2010,0,662610.6274,3922230991,-1.002,-77.941,,Amazonia
170,1503,ARCHIDONA,15,NAPO,2010,0,383870.0841,3028151093,-0.719,-77.934,,Amazonia
171,1504,EL CHACO,15,NAPO,2010,0,392494.4867,3501356269,-0.251,-77.673,,Amazonia
172,1507,QUIJOS,15,NAPO,2010,0,244701.6049,1588440008,-0.469,-77.975,,Amazonia
173,1509,CARLOS JULIO AROSEMENA TOLA,15,NAPO,2010,0,145299.0949,502244354.8,-1.164,-77.94,,Amazonia
174,1601,PASTAZA,16,PASTAZA,2010,0,996821.3599,19924333897,-1.898,-76.884,,Amazonia
175,1602,MERA,16,PASTAZA,2010,0,174499.4211,526918899.1,-1.315,-78.047,,Amazonia
176,1603,SANTA CLARA,16,PASTAZA,2010,0,108283.759,313220603.1,-1.274,-77.864,,Amazonia
177,1604,ARAJUNO,16,PASTAZA,2010,0,1079477.835,8864291755,-1.347,-76.764,,Amazonia
178,1701,QUITO,17,PICHINCHA,2010,0,541301.4431,4215242400,-0.104,-78.519,,Amazonia
179,1702,CAYAMBE,17,PICHINCHA,2010,0,228361.5973,1194935533,-0.004,-78.075,,Amazonia
180,1703,MEJIA,17,PICHINCHA,2010,0,253336.7487,1484868580,-0.492,-78.63,,Interandean
181,1704,PEDRO MONCAYO,17,PICHINCHA,2010,0,109413.5817,338310182.7,0.053,-78.277,,Interandean
182,1705,RUMIÐAHUI,17,PICHINCHA,2010,0,68534.30943,135812953.3,-0.401,-78.443,,Interandean
183,1707,SAN MIGUEL DE LOS BANCOS,17,PICHINCHA,2010,0,228101.9209,850677132.4,-0.038,-78.894,,Interandean
184,1708,PEDRO VICENTE MALDONADO,17,PICHINCHA,2010,0,140763.8623,623333722.3,0.149,-79.058,,Interandean
185,1709,PUERTO QUITO,17,PICHINCHA,2010,0,171917.4518,694725657.5,0.156,-79.239,,Interandean
186,1801,AMBATO,18,TUNGURAHUA,2010,0,171758.8911,1018341760,-1.278,-78.75,,Interandean
187,1802,BAÑOS DE AGUA SANTA,18,TUNGURAHUA,2010,0,162094.3579,1065985335,-1.337,-78.273,,Interandean
188,1803,CEVALLOS,18,TUNGURAHUA,2010,0,19549.00073,18793467.87,-1.351,-78.612,,Interandean
189,1804,MOCHA,18,TUNGURAHUA,2010,0,52704.15574,85850762.31,-1.418,-78.694,,Interandean
190,1805,PATATE,18,TUNGURAHUA,2010,0,91191.63778,315749600.4,-1.271,-78.425,,Interandean
191,1806,QUERO,18,TUNGURAHUA,2010,0,70880.55759,173798248.4,-1.446,-78.62,,Interandean
192,1807,SAN PEDRO DE PELILEO,18,TUNGURAHUA,2010,0,93548.50269,201768605.8,-1.361,-78.532,,Interandean
