"","i","j","w"
"71",3,67,0.0384615384615385
"72",4,1,0.0625
"73",4,5,0.0678733031674208
"74",4,6,0.20442792501616
"75",4,7,0.153581593927894
"76",4,10,0.190836495888678
"77",4,12,0.177862460120525
"78",4,13,0.35310755815974
"79",4,14,0.124169829222011
"80",4,15,0.492664250401855
"81",4,16,0.032258064516129
"82",4,17,0.425997583735188
"83",4,18,0.242532882718305
"84",4,19,0.199054621848739
"85",4,20,0.135390025575448
"86",4,21,0.235521393258997
"87",4,22,0.100961538461538
"88",4,23,0.237516160310278
"89",4,25,0.150621118012422
"90",4,26,0.314646019698202
"91",4,27,0.0434782608695652
"92",4,28,0.135390025575448
"93",4,30,0.124169829222011
"94",4,31,0.377072852552392
"95",4,32,0.449185989532289
"96",4,33,0.454202711940316
"97",4,34,0.492664250401855
"98",4,35,0.20442792501616
"99",4,36,0.178018230703653
"100",4,38,0.492664250401855
"101",4,40,0.265721288515406
"102",4,41,0.454202711940316
"103",4,42,0.168812686364869
"104",4,43,0.168812686364869
"105",4,44,0.0294117647058824
"106",4,45,0.235521393258997
"107",4,46,0.0384615384615385
"108",4,47,0.280164250401855
"109",4,48,0.0588235294117647
"110",4,49,0.10230179028133
"111",4,50,0.279543132389432
"112",4,52,0.492664250401855
"113",4,53,0.409330917068521
"114",4,54,0.139400921658986
"115",4,55,0.492664250401855
"116",4,56,0.0910815939278937
"117",4,57,0.203263328742868
"118",4,59,0.342664250401855
"119",4,63,0.0384615384615385
"120",4,64,0.096078431372549
"121",4,68,0.0384615384615385
"122",4,69,0.0728900255754476
"123",4,70,0.0294117647058824
"124",4,71,0.0294117647058824
"125",4,72,0.032258064516129
"126",4,73,0.032258064516129
"127",4,75,0.0625
"128",4,77,0.0294117647058824
"129",4,78,0.136554621848739
"130",4,79,0.0625
"131",4,81,0.107142857142857
"132",4,83,0.032258064516129
"133",4,85,0.094758064516129
"134",5,4,0.214932126696833
"135",5,6,0.487621425701921
"136",5,7,0.290972752737459
"137",5,10,0.443930905695612
"138",5,12,0.181318681318681
"139",5,13,0.0839160839160839
"140",5,14,0.176190476190476
"141",5,15,0.487621425701921
"142",5,17,0.499309737390233
"143",5,18,0.21218487394958
"144",5,19,0.0454545454545455
"145",5,20,0.211904761904762
"146",5,21,0.585024023104519
"147",5,22,0.117249417249417
"148",5,23,0.226773226773227
"149",5,24,0.05
"150",5,26,0.2843776106934
"151",5,28,0.14390142021721
"152",5,30,0.176470588235294
"153",5,31,0.524923013003508
"154",5,32,0.630478568559064
"155",5,33,0.55630274438324
"156",5,34,0.52229143405614
"157",5,35,0.426836888601594
"158",5,36,0.303821015585721
"159",5,38,0.630478568559064
"160",5,40,0.0857142857142857
"161",5,41,0.54656248464298
"162",5,42,0.209803921568627
"163",5,43,0.176470588235294
"164",5,44,0.229102167182663
"165",5,45,0.539208727289223
"166",5,46,0.124175824175824
"167",5,47,0.630478568559064
"168",5,48,0.209803921568627
"169",5,49,0.360270998351494
"170",5,50,0.630478568559064
"171",5,51,0.0811688311688312
"172",5,52,0.577846989611695
"173",5,53,0.432065870146365
"174",5,54,0.0357142857142857
"175",5,55,0.630478568559064
"176",5,56,0.245518207282913
"177",5,57,0.283979745744452
"178",5,59,0.296100957865664
"179",5,63,0.0384615384615385
"180",5,64,0.209803921568627
"181",5,68,0.0884615384615385
"182",5,69,0.142857142857143
"183",5,70,0.105555555555556
"184",5,71,0.176470588235294
"185",5,73,0.0555555555555556
"186",5,77,0.0333333333333333
"187",5,78,0.176470588235294
"188",5,82,0.0454545454545455
"189",5,84,0.0526315789473684
"190",5,88,0.0357142857142857
"191",6,4,0.227537168713639
"192",6,5,0.629557817483514
"193",6,7,0.631370002546473
"194",6,8,0.12
"195",6,10,0.479685437393348
"196",6,12,0.213338385752179
"197",6,13,0.82561408391023
"198",6,14,0.12156862745098
"199",6,15,1.37774932397117
"200",6,16,0.468527640941434
"201",6,17,0.747046358354408
"202",6,18,0.136554621848739
"203",6,19,0.627430323226469
"204",6,20,0.380731189027335
"205",6,21,0.98164542786727
"206",6,22,0.595835275835276
"207",6,23,0.70561408391023
"208",6,24,0.15
"209",6,25,0.0714285714285714
"210",6,26,0.741986410414135
"211",6,28,0.427625436139368
"212",6,30,0.0294117647058824
