SOURCE,TARGET,WEIGHT
20,70,0.175238095
20,71,0.125
20,72,2.328508591
20,73,4.134984528
20,74,6.065829075
20,75,3.453180988
20,76,5.749717964
20,77,0.210526316
20,78,6.714333349
20,79,1.238130529
20,80,0.132275132
20,81,1.316431682
21,1,0.342720685
21,2,0.166666667
21,4,0.229344729
21,5,0.166666667
21,6,0.775407269
21,7,0.096774194
21,8,0.148148148
21,10,0.393548387
21,11,0.193548387
21,12,2.686620201
21,13,0.196774194
21,14,0.585207337
21,15,1.955158144
21,16,1.69448465
21,17,0.227208976
21,18,0.6638785
21,19,3.048492933
21,20,2.654409239
21,22,2.785654017
21,23,2.373653963
21,24,2.938348005
21,25,3.048492933
21,26,0.766573173
21,28,0.200779727
21,29,0.966890531
21,30,0.043478261
21,31,2.52871679
21,32,1.168820403
21,33,0.71979118
21,34,0.958202649
21,35,1.520901067
21,36,0.193548387
21,37,0.562513904
21,38,1.339872345
21,39,0.037037037
21,40,0.193548387
21,41,0.168965517
21,42,1.721775789
21,43,0.332575758
21,44,0.931592864
21,45,0.096774194
21,46,0.536728489
21,47,0.429180571
21,48,0.561935141
21,49,1.721021662
21,50,0.387083584
21,51,1.378303231
21,52,0.047619048
21,53,0.341217608
21,54,0.600233697
21,55,2.790917175
21,56,0.492899864
21,57,0.090909091
21,58,0.326124145
21,59,0.781529184
21,60,0.068965517
21,61,0.16344086
21,62,0.406907146
21,63,0.203352869
21,64,0.325529543
21,65,1.214369701
21,67,0.426740524
21,68,1.922539884
21,69,0.273913043
21,70,0.255555556
21,71,0.166666667
21,72,0.916677179
21,73,1.608983038
21,74,3.048492933
21,75,2.139671271
21,76,2.848492933
21,77,0.052631579
21,78,2.981826266
21,79,1.128832795
21,80,0.148148148
21,81,0.388993873
22,1,1.173334516
22,2,0.458333333
22,3,0.055555556
22,4,1.140262515
22,5,0.055555556
22,6,1.848248955
22,7,0.193548387
22,8,0.222222222
22,9,0.055555556
22,10,0.63483871
22,11,0.35483871
22,12,5.562510671
22,13,0.293548387
22,14,1.73638519
22,15,4.602006697
22,16,2.750693881
22,17,0.584852735
22,18,2.082675157
22,19,7.136771771
22,20,5.55856279
22,21,4.810537161
22,23,4.84982799
22,24,6.705198272
22,25,7.232009866
22,26,0.830404224
22,27,0.368627451
22,28,0.432748538
22,29,2.66162811
22,30,0.043478261
22,31,4.759949494
22,32,2.540589032
22,33,1.583682526
22,34,2.000380665
22,35,3.11168395
22,36,0.35483871
22,37,1.135823931
22,38,2.74913433
22,39,0.555555556
22,40,0.47983871
22,41,0.272413793
22,42,5.307094886
22,43,1.483907204
22,44,3.684296227
22,45,0.270471464
22,46,1.499692626
22,47,1.494034377
22,48,1.303850535
22,49,3.647710774
22,50,0.757266528
22,51,2.01591448
22,52,0.19047619
22,53,1.489469697
22,54,1.57172299
22,55,7.043120977
22,56,1.370864351
22,57,0.521645022
22,58,1.432806064
22,59,1.01910658
22,60,0.172413793
22,61,0.193548387
22,62,1.133499303
22,63,0.415192753
22,64,1.275315868
22,65,3.643910774
22,66,0.153846154
22,67,0.842344036
22,68,4.531587638
22,69,0.590338164
22,70,0.541904762
22,71,0.458333333
22,72,1.226252284
22,73,2.517515806
22,74,7.043120977
22,75,4.477740528
22,76,6.591715749
22,77,0.210526316
22,78,7.0403432
22,79,2.638283233
22,80,0.839659197
22,81,0.380504909
23,1,0.582485952
23,3,0.055555556
23,4,0.262108262
23,5,0.111111111
23,6,0.656668278
23,7,0.096774194
23,8,0.037037037
23,9,0.055555556
23,10,0.301290323
23,11,0.161290323
23,12,2.543094826
23,13,0.130107527
23,14,0.944749898
23,15,1.764375423
23,16,1.699133729
23,17,0.096774194
23,18,0.500435622
23,19,4.183429315
23,20,2.937113001
23,21,2.252652471
23,22,3.139987961
23,24,3.347413097
23,25,4.231048363
23,26,0.388549744
23,27,0.192156863
23,28,0.247563353
23,29,1.00726263
23,30,0.173913043
23,31,2.834344396
23,32,1.14901815
23,33,0.398285084
23,34,1.462317611
23,35,0.591800553
23,36,0.216845878
23,37,0.540967886
23,38,1.744664107
23,39,0.185185185
23,40,0.286290323
23,41,0.067816092
23,42,2.45880029
23,43,0.55203824
23,44,1.713992205
23,45,0.064516129
23,46,0.426290376
23,47,0.291011176
23,48,1.382906129
23,49,1.428947461
23,50,0.267620589
23,51,1.276280793
23,52,0.095238095
23,53,0.445505702
23,54,0.948277275
23,55,3.696394128
23,56,0.962150646
23,57,0.186147186
23,58,0.788603555
23,59,0.294144941
23,60,0.090038314
23,61,0.197849462
23,62,0.572970555
23,63,0.37622797
23,64,0.787749288
23,65,1.526473591
23,66,0.076923077
23,67,0.269385334
23,68,2.998096863
23,69,0.563112733
23,70,0.047619048
23,72,0.909615436
23,73,2.158077889
23,74,3.954979987
23,75,1.936574137
23,76,4.01837868
23,77,0.210526316
23,78,3.931048363
23,79,0.604639422
23,80,0.220860566
23,81,0.692815137
24,1,1.398471898
24,2,0.583333333
24,3,0.222222222
24,4,1.421245421
24,5,0.055555556
24,6,2.834751652
24,7,0.129032258
24,8,0.333333333
24,9,0.222222222
24,10,0.782580645
24,11,0.322580645
24,12,7.361961163
24,13,0.295698925
24,14,2.345983796
24,15,6.117163133
24,16,3.623985773
24,17,0.346423562
24,18,3.112789637
24,19,9.467966204
24,20,7.25677532
24,21,6.763301114
24,22,8.370093901
24,23,6.466555859
24,25,9.515585252
24,26,1.350338228
24,27,0.258823529
24,28,0.807017544
24,29,3.062329699
24,31,7.039162957
24,32,4.265630973
24,33,1.972142027
24,34,2.777346502
24,35,4.051544666
24,36,0.322580645
24,37,1.291223726
24,38,4.837931375
24,39,1
24,40,0.510080645
24,41,0.270114943
24,42,5.268545533
24,43,1.382899045
24,44,3.714712369
24,45,0.663771712
24,46,1.120604758
24,47,1.459439059
24,48,2.077117984
24,49,5.490907057
24,50,0.586235475
24,51,2.338282536
24,52,0.333333333
24,53,1.355960972
24,54,2.123362122
24,55,9.046742983
24,56,1.48253716
24,57,0.231601732
24,58,1.376682002
24,59,0.981333435
24,60,0.103448276
24,61,0.548387097
24,62,1.406913031
24,63,0.316734989
24,64,2.070079277
24,65,4.240115412
24,66,0.076923077
24,67,1.595007143
24,68,6.387810353
24,69,0.774112361
24,70,0.503174603
24,71,0.583333333
24,72,1.951736462
24,73,4.537212941
24,74,9.083106619
24,75,6.182202555
24,76,8.449069415
24,77,0.473684211
24,78,8.982251919
24,79,3.447729891
24,80,0.770133053
24,81,1.316884427
25,1,3.24507618
25,2,0.708333333
25,3,0.555555556
25,4,3.043447293
25,5,0.222222222
25,6,4.346238946
25,7,0.548387097
25,8,0.407407407
25,9,0.555555556
25,10,1.080645161
25,11,0.580645161
25,12,17.53572488
25,13,0.715053763
25,14,7.446076711
25,15,14.34739297
25,16,8.69132294
25,17,0.939691445
25,18,6.402926421
25,19,24.5009585
25,20,16.2154947
25,21,13.16470427
25,22,22.18761921
25,23,16.83499595
25,24,21.52114484
25,26,2.963134796
25,27,0.494117647
25,28,1.828460039
25,29,7.490722403
25,30,0.086956522
25,31,14.9674296
25,32,7.505317723
25,33,3.623711056
25,34,6.689112229
25,35,6.821098443
25,36,0.691756272
25,37,2.313650087
25,38,7.464711123
25,39,1.703703704
25,40,1.518145161
25,41,0.442528736
25,42,16.93278021
25,43,5.807492785
25,44,13.16196166
25,45,0.951612903
25,46,3.980741577
25,47,2.888957307
25,48,7.037425951
25,49,9.692176011
25,50,1.397371695
25,51,6.769194021
25,52,0.523809524
25,53,4.101550803
25,54,4.849496501
25,55,23.45491566
25,56,3.956132491
25,57,1.404761905
25,58,4.210353903
25,59,2.879795724
25,60,0.38697318
25,61,0.51827957
25,62,2.706481629
25,63,1.13204936
25,64,4.384550353
25,65,11.40286069
25,66,0.269230769
25,67,1.855523807
25,68,17.55269399
25,69,2.744072835
25,70,1.761587302
25,71,0.708333333
25,72,4.823645345
25,73,7.001805589
25,74,22.62562273
25,75,14.52597151
25,76,21.80099226
25,77,1.421052632
25,78,22.41921247
25,79,6.646502413
25,80,2.439025054
25,81,1.471826481
26,6,0.045454545
26,12,0.225200462
26,14,0.092631579
26,15,0.139745917
26,16,0.179745917
26,19,0.277832041
26,20,0.277832041
26,21,0.225200462
26,22,0.277832041
26,23,0.237832041
26,24,0.277832041
26,25,0.277832041
26,31,0.225200462
26,32,0.085454545
26,34,0.132568883
26,35,0.085454545
26,37,0.034482759
26,38,0.087114338
26,41,0.034482759
26,42,0.092631579
26,43,0.04
26,44,0.04
26,46,0.04
26,47,0.034482759
26,48,0.052631579
26,49,0.085454545
26,50,0.034482759
26,51,0.105263158
26,53,0.034482759
26,55,0.277832041
26,58,0.052631579
26,59,0.179745917
26,60,0.034482759
26,62,0.034482759
26,63,0.034482759
26,65,0.04
26,67,0.045454545
26,68,0.197894737
26,70,0.04
26,72,0.132568883
26,73,0.132568883
26,74,0.277832041
26,75,0.185200462
26,76,0.237832041
26,78,0.277832041
26,79,0.04
27,14,0.058823529
27,15,0.058823529
27,19,0.125490196
27,20,0.066666667
27,22,0.125490196
27,23,0.125490196
27,24,0.125490196
27,25,0.125490196
27,31,0.125490196
27,34,0.066666667
27,37,0.066666667
27,38,0.066666667
27,42,0.058823529
27,44,0.058823529
27,53,0.058823529
27,55,0.058823529
27,65,0.058823529
27,68,0.066666667
27,73,0.066666667
27,74,0.125490196
27,76,0.066666667
27,78,0.125490196
27,79,0.058823529
27,80,0.058823529
28,8,0.037037037
28,12,0.089668616
